EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5236850,MONTGOMERY CO.,MONTGOMERY,03/02/2001,1829,Tornado, ,F1,0,0,125000,0,AL,CST, ,1111902,C,101,BMX,0,0,NWS STORM SURVEY, ,2.2,100, , , , ,MONTGOMERY,03/02/2001,1833,32.38,-86.30,32.38,-86.30,"The tornado began in the Woodmere area where a number of houses sustained roof damage primarily in the form of lost shingles, fences were downed, and small trees were uprooted. The tornado moved northeast and tracked through the Beauvoir Lake subdivision where one house under construction was flattened and another house was partially deroofed with serious damage to the upper level. 

From Beauvoir Lake subdivision the tornado downed trees and removed shingles from house roofs in the Halcyon area. The tornado crossed Interstate 85 just west of the Taylor Road exit snapping off numerous pine trees in the interstate median. The tornado apparently ended at Taylor Road on the north side of the interstate. 

The tornado was rated at F1 based on structural damage in the Beauvoir Lake area. Much of the damage along the track was in the F0 category.  The tornado track was 2.2 miles in length and estimated to be about 100 yards wide at it's widest point. The tornado began at 6:29 PM and ended at 6:33 PM. No injuries or deaths were reported with this storm.","",1
5234018,MARION CO.,MARTEL,03/04/2001,720,Tornado, ,F0,0,0,80000,0,FL,EST, ,1111798,C,83,JAX,0,0,EMERGENCY MANAGER, ,2.5,20,1,S,2,N,MARTEL,03/04/2001,731,29.17,-82.27,29.20,-82.27,"Sixty-one homes were damaged, 44 were manufactured. Fourteen homes were heavily damaged.","",2
5234095,MARION CO.,OCALA,03/04/2001,750,Tornado, ,F0,0,0,150000,0,FL,EST, ,1111799,C,83,JAX,0,0,EMERGENCY MANAGER, ,.5,50,5,NE,6,NE,OCALA,03/04/2001,750,29.23,-82.07,29.23,-82.07,"Tornado was a weak FO, with some evidence of downburst. Damage was near Northeast 38th Street. Two homes with substantial roof damage, and 19 others with damage.","",3
5238188,PASCO CO.,HUDSON,03/04/2001,803,Tornado, ,F0,0,0,250000,0,FL,EST, ,1112369,C,101,TBW,0,0,NWS STORM SURVEY, ,4.7,50,1,SSE,5,ENE,HUDSON,03/04/2001,810,28.35,-82.70,28.40,-82.63,"National Weather Service damage survey indicated that a high end F0 tornado, that averaged 35 yards in width, initially touched down and uprooted two large pine trees which damaged the roof of a home on Willow Brook Court in a residential community of Hudson.  The tornado continued on a tree-top level northeast trajectory where it caused additional sporadic tree and pool enclosure damage on Ashbury Drive. 

The tornado then began a east-northeast trajectory and removed a poorly fastened aluminum roof from a mobile home on Bud Street.  As the path direction became northeast, the next sporadic touchdown occurred at the Hudson High School where a portion of the gynasium roof was lifted, buckled and removed, while the nearby ballfield bleachers were flipped over by the tornado.

The tornado continued over rural semi-wooded western Pasco county where it snapped two pine trees along Coyote Road before it lifted and dissipated.","",4
5233910,KENDALL CO.,KENDALIA,03/08/2001,1715,Tornado, ,F0,0,0,0,0,TX,CST, ,1111781,C,259,EWX,0,0,AMATEUR RADIO, ,.2,50,4,S,4,S,KENDALIA,03/08/2001,1716,29.92,-98.52,29.92,-98.52,"A small and short-lived tornado was observed by Amateur Radio Spotters just south of Kendalia.  The tornado was in open country and dissipated quickly, causing no damage.","",5
5234911,RUSK CO.,TATUM,03/12/2001,336,Tornado, ,F1,0,0,300000,0,TX,CST, ,1111599,C,401,SHV,0,0,NWS STORM SURVEY, ,10,300,10,WSW, , ,TATUM,03/12/2001,348,32.25,-94.67,32.30,-94.52,"This tornado continued into Panola County, Texas.  A tornado developed on the southern most cell of a squall line as it moved eastward across the county.  Six homes lost numerous shingle patches while one home lost part of its roof.  Two churches suffered roof damage.  Numerous snapped, broken or felled trees.","",6
5234912,PANOLA CO.,TATUM,03/12/2001,348,Tornado, ,F1,0,0,5000,0,TX,CST, ,1111599,C,365,SHV,0,0,NWS STORM SURVEY, ,5.8,250, , ,6,ENE,TATUM,03/12/2001,355,32.30,-94.52,32.33,-94.42,"This tornado continued from Rusk County, Texas.  A tornado developed on the southern most cell of a squall line as it moved eastward across the county.  Two homes lost numerous shingle patches.  Numerous snapped, broken or felled trees.","",7
5236337,TANGIPAHOA PAR.,KENTWOOD,03/12/2001,720,Tornado, ,F0,0,0,2000,0,LA,CST, ,1112031,C,105,LIX,0,0,FIRE DEPT/RESCUE SQUAD, ,.2,20,8,E,8,E,KENTWOOD,03/12/2001,720,30.93,-90.38,30.93,-90.38,"A weak tornado knocked down several trees and power lines.","",8
5238147,MARION CO.,COLUMBIA,03/12/2001,832,Tornado, ,F1,0,0,100000,0,MS,CST, ,1112589,C,91,JAN,0,0,NWS STORM SURVEY, ,8,440,1,N,9,NE,COLUMBIA,03/12/2001,832,31.27,-89.83,31.35,-89.73,"Numerous trees were blown down, and several buildings sustained damage as this F1 tornado moved northeast from the northern edge of Columbia to about nine miles northeast of Columbia.","",9
5236327,TANGIPAHOA PAR.,KENTWOOD,03/12/2001,910,Tornado, ,F0,0,0,28000,0,LA,CST, ,1112021,C,105,LIX,0,0,LAW ENFORCEMENT, ,.3,20, , , , ,KENTWOOD,03/12/2001,910,30.93,-90.52,30.93,-90.52,"A tornado knocked down numerous trees and power lines.  Several homes received roof damage as a result of the downed trees.","",10
