EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5249735,BLUE EARTH CO.,MAPLETON,05/01/2001,1555,Tornado, ,F0,0,0,0,0,MN,CST, ,1115671,C,13,MPX,0,0,STORM CHASER, ,.1,25,3,NW,3,NW,MAPLETON,05/01/2001,1558,43.97,-94.02,43.97,-94.02,"Touched down in open field. No damage reported.","",1
5246697,BURNETT CO.,GRANTSBURG,05/01/2001,1715,Tornado, ,F0,0,0,0,0,WI,CST, ,1115209,C,13,DLH,0,0,TRAINED SPOTTER, ,1.5,50,3,WNW,3,WNW,GRANTSBURG,05/01/2001,1720,45.80,-92.75,45.80,-92.73,"A weak tornado destroyed a screen house and blew down many trees. A mobile home suffered structural damage from a falling branch.","",2
5249931,STEELE CO.,HOPE,05/01/2001,1732,Tornado, ,F0,0,0,0,0,MN,CST, ,1115671,C,147,MPX,0,0,STORM CHASER, ,.1,25,1,N,1,N,HOPE,05/01/2001,1732,43.98,-93.28,43.98,-93.28,"Brief touchdown in field. No damage reported.","",3
5250016,PIERCE CO.,ELLSWORTH,05/01/2001,1758,Tornado, ,F0,0,0,0,0,WI,CST, ,1115672,C,93,MPX,0,0,LAW ENFORCEMENT, ,.1,25,1,N,1,N,ELLSWORTH,05/01/2001,1758,44.75,-92.47,44.75,-92.47,"Dropped down onto farmland, no damage reported.","",4
5249933,FREEBORN CO.,GLENVILLE,05/01/2001,1802,Tornado, ,F2,0,0,20000000,0,MN,CST, ,1115671,C,47,MPX,0,0,STORM CHASER, ,7,440, , ,3,N,MYRTLE,05/01/2001,1810,43.57,-93.28,43.62,-93.17,"Tornado first touched down on the western fringe of Glenville, and produced major damage, especially on the northwest side of Glenville.  There were 25 homes that sustained major damage, and 70 with minor damage.  Damage survey indicated F2 damage on northwest side of Glenville, with F1 damage along rest of path.","",5
5249937,FREEBORN CO.,OAKLAND,05/01/2001,1815,Tornado, ,F2,0,0,2000000,0,MN,CST, ,1115671,C,47,MPX,0,0,LAW ENFORCEMENT, ,5,250,4,SW,2,SE,OAKLAND,05/01/2001,1824,43.65,-93.13,43.67,-93.05,"Shortly after the Glenville tornado dissipated, another tornado formed 4 miles southwest of Oakland and dissipated about 1/2 mile before it would have crossed Interstate 90, which law enforcement had barricaded.  Major damage to 3 farmsteads, minor damage to 8 others per damage survey.","",6
5249939,FREEBORN CO.,OAKLAND,05/01/2001,1829,Tornado, ,F1,0,0,50000,0,MN,CST, ,1115671,C,47,MPX,0,0,STORM CHASER, ,1,250,1,E,2,ENE,OAKLAND,05/01/2001,1832,43.68,-93.07,43.70,-93.05,"The third tornado in a series (the first one started at Glenville) formed just north of Interstate 90 and east of Oakland.  It was on the ground for one mile in Freeborn County before crossing into Mower County, where it dissipated 4 N Austin (see Storm Data for southeast Minnesota).  A few grain bins were blown down.","",7
5242952,MOWER CO.,AUSTIN,05/01/2001,1832,Tornado, ,F1,0,0,150000,0,MN,CST, ,1114347,C,99,ARX,0,0,NWS STORM SURVEY, ,5,250,3,W,4,N,AUSTIN,05/01/2001,1840,43.67,-93.00,43.72,-92.93,"","Storm spotters and law enforcement officials reported a tornado entered Mower County about 3 miles west of Austin.  The storm proceeded northeast, before lifting about 4 miles north of Austin.  The tornado hit numerous farms, outbuildings, power poles and crossed fields that were still bare of crops.  Several hog farms were destroyed.  Hardest hit were several homes in the small community of Andyville, just north of Austin, along Highway 218.  Roofs were torn off and trees sheared off.  Two smaller tornadoes also touched down briefly  between Rose Creek and Elkton (Mower County) and near Stewartville (Olmsted County), but no damage was reported.  Spotters across southeast Minnesota also reported hail ranging in size from dimes to golf balls and thunderstorm wind gusts of 60 mph.",8
5242953,MOWER CO.,ELKTON,05/01/2001,1852,Tornado, ,F0,0,0,0,0,MN,CST, ,1114347,C,99,ARX,0,0,NWS STORM SURVEY, ,.3,50,3,SW,2,SW,ELKTON,05/01/2001,1854,43.63,-92.77,43.65,-92.75,"","Storm spotters and law enforcement officials reported a tornado entered Mower County about 3 miles west of Austin.  The storm proceeded northeast, before lifting about 4 miles north of Austin.  The tornado hit numerous farms, outbuildings, power poles and crossed fields that were still bare of crops.  Several hog farms were destroyed.  Hardest hit were several homes in the small community of Andyville, just north of Austin, along Highway 218.  Roofs were torn off and trees sheared off.  Two smaller tornadoes also touched down briefly  between Rose Creek and Elkton (Mower County) and near Stewartville (Olmsted County), but no damage was reported.  Spotters across southeast Minnesota also reported hail ranging in size from dimes to golf balls and thunderstorm wind gusts of 60 mph.",9
5242955,OLMSTED CO.,STEWARTVILLE,05/01/2001,1906,Tornado, ,F0,0,0,0,0,MN,CST, ,1114347,C,109,ARX,0,0,FIRE DEPT/RESCUE SQUAD, ,.2,50,5,E,6,E,STEWARTVILLE,05/01/2001,1908,43.85,-92.38,43.85,-92.37,"","Storm spotters and law enforcement officials reported a tornado entered Mower County about 3 miles west of Austin.  The storm proceeded northeast, before lifting about 4 miles north of Austin.  The tornado hit numerous farms, outbuildings, power poles and crossed fields that were still bare of crops.  Several hog farms were destroyed.  Hardest hit were several homes in the small community of Andyville, just north of Austin, along Highway 218.  Roofs were torn off and trees sheared off.  Two smaller tornadoes also touched down briefly  between Rose Creek and Elkton (Mower County) and near Stewartville (Olmsted County), but no damage was reported.  Spotters across southeast Minnesota also reported hail ranging in size from dimes to golf balls and thunderstorm wind gusts of 60 mph.",10
