EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5232869,HOLMES CO.,GOODMAN,02/16/2001,1210,Tornado, ,F2,1,1,50000,0,MS,CST, ,1111307,C,51,JAN,0,0,NWS STORM SURVEY, ,4,500,5,NW,4,NNE,GOODMAN,02/16/2001,1215,33.02,-89.97,33.02,-89.87,"The tornado formed about 1.4 miles west of interstate 55 at mile marker 150, then tracked eastward. As the tornado tracked eastward across Interstate 55, an eighteen wheeler truck was overturned. The tornado continued to track eastward across Holmes County State Park, where many trees were blown down and several cabins were damaged.  A woman caught in the storm at the State Park was killed when her car was blown on top of her after she had abandoned the vehicle to take refuge in a ditch. The tornado then moved eastward to a point just north of the highway 51/424 intersection and dissipated.","",1
5234092,MADISON CO.,HUNTSVILLE,02/16/2001,1339,Tornado, ,F0,0,0,40000,0,AL,CST, ,1111554,C,89,BMX,0,0,EMERGENCY MANAGER, ,4.4,30,10,WNW,6,NW,HUNTSVILLE,02/16/2001,1345,34.78,-86.77,34.78,-86.68,"A small tornado described by eye witnesses as a smooth funnel touched down in northwest Huntsville.  The damage began near the intersection of Capshaw Road and Wall Triana Highway.  The tornado damage path extended nearly due east for some distance before turning east-northeast and ending just west of Rideout Road.  A damage survey was conducted of this event by meteorologists from UAH who described the damage path as narrow, focused, and convergent.  Additional damage occurred in northeast Huntsville in the Chase area and may possibly have been another weak tornado touchdown.  Beginning: 34 46.378/86 45.006  Ending: 34 46.769/86 40.393","",2
5233167,MARION CO.,COLUMBIA,02/16/2001,1535,Tornado, ,F0,0,0,1000,0,MS,CST, ,1111313,C,91,JAN,0,0,NWS STORM SURVEY, ,1,150,15,NE,16,NE,COLUMBIA,02/16/2001,1539,31.40,-89.67,31.42,-89.65,"","",3
5233168,LAMAR CO.,SUMRALL,02/16/2001,1539,Tornado, ,F0,0,0,1000,0,MS,CST, ,1111313,C,73,JAN,0,0,NWS STORM SURVEY, ,1.5,150,7,W,6,WNW,SUMRALL,02/16/2001,1545,31.42,-89.67,31.45,-89.65,"","",4
5233169,JEFFERSON DAVIS CO.,MELBA,02/16/2001,1545,Tornado, ,F0,0,0,15000,0,MS,CST, ,1111313,C,65,JAN,0,0,NWS STORM SURVEY, ,.5,150,1,SE,1,ESE,MELBA,02/16/2001,1546,31.43,-89.63,31.45,-89.63,"An F0 tornado first touched down in extreme northeast Marion County. The tornado caused downed trees in this rural area, then moved northeast out of the county into a rural area of extreme northwest Lamar Couny. Damage was confined to downed trees. The tornado then moved northeast out of the county and into extreme southeast Jefferson Davis County about one mile southeast of Melba. Two barns sustained minor structural damage, and two houses had minor roof damage. A number of trees were also blown down. The tornado only tracked about .5 mile in Jefferson Davis County before dissipating. The total tornado track through all three counties was about three miles.","",5
5231862,JONES CO.,ELLISVILLE,02/16/2001,1610,Tornado, ,F0,0,0,1000,0,MS,CST, ,1111307,C,67,JAN,0,0,NWS STORM SURVEY, ,.5,150,8,W,8,W,ELLISVILLE,02/16/2001,1615,31.60,-89.33,31.60,-89.33,"An F0 tornado briefly touched down in a rural area in southwest Jones County. Damage was restricted to a number of downed trees.","",6
5232355,ELBERT CO.,BOWMAN,02/16/2001,1950,Tornado, ,F0,0,0,20000,0,GA,EST, ,1111208,C,105,GSP,0,0,LAW ENFORCEMENT, ,3,440,2,N,5,N,BOWMAN,02/16/2001,1953,34.23,-83.03,34.25,-83.03,"","A strong cold front crossed the region on the evening of the 16th, resulting in gusty winds and strong to severe thunderstorms. Elbert County Sheriff's Department reported a couple of chicken housed damaged and destroyed. A brief storm survey found mostly evidence of debris blown forward, but one small area of convergent damage was noted. Several witnesses reported seeing the tornado on the ground. The tornado lifted just short of the Hart County line.",7
5229860,ORANGE CO.,ORANGE,02/24/2001,1350,Tornado, ,F0,0,0,50000,0,CA,PST, ,1110733,C,59,SGX,0,0,LAW ENFORCEMENT, ,.1,100,1,S,1,S,ORANGE,02/24/2001,1351,33.78,-117.83,33.78,-117.83,"Witnesses reported hearing a loud roaring sound like a freight train, followed by 45 seconds of intense wind and heavy rain. A funnel cloud was sighted in the area following the wind damage. Damage consisted of roof shingles, skylights, and metal awnings being ripped off six structures, two 10 ft. by 15 ft. roll-up doors being blown in, several wooden fences knocked down, as well as telephone wires. An NWS meteorologist conducting a damage survey noted a cyclonic pattern in the debris.","",8
5234751,WEBSTER CO.,SEYMOUR,02/24/2001,1524,Tornado, ,F1,0,0,155000,0,MO,CST, ,1111688,C,225,SGF,0,0,NWS STORM SURVEY, ,5,50,5,SE,6,E,SEYMOUR,02/24/2001,1530,37.10,-92.72,37.15,-92.67,"","A tornado developed in northeast Webster County near Highway K or 5 miles southeast of Seymour. It moved northeast into extreme southwest Wright County near Highway 60. Damage was relatively light as it remained in rural areas. Four outbuildings were damaged near the intersection of Foxgrape Road and Pee Wee Crossing. A hay barn was damaged near Highway 60. Tree damage was intermittent along the path of the tornado. Top winds were estimated at 115 mph.",9
5234822,WRIGHT CO.,CEDAR GAP,02/24/2001,1530,Tornado, ,F0,0,0,0,0,MO,CST, ,1111689,C,229,SGF,0,0,NWS STORM SURVEY, ,1.5,50,2,NW,2,N,CEDAR GAP,02/24/2001,1534,37.12,-92.70,37.13,-92.68,"","This is the continuation of the Webster County tornado that moved into extreme southwest Wright County. Damage was mainly confined to trees approximately 1 to 1.5 miles across the Wright County line. Top winds were estimated around 70 mph.",10
