EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5263928,CAMDEN CO.,ST MARYS,09/01/2001,1556,Tornado, ,F0,0,0,1500,0,GA,EST, ,1121436,C,39,JAX,0,0,GENERAL PUBLIC, ,.1,10,0,NW, , ,ST MARYS,09/01/2001,1556,30.73,-81.55,30.73,-81.55,"Weak FO. Tops of trees damaged.","",1
5264840,NEW MADRID CO.,PARMA,09/02/2001,1227,Tornado, ,F0,0,0,0,0,MO,CST, ,1122198,C,143,PAH,0,0,LAW ENFORCEMENT, ,1.5,30,1,SW,2,NW,RISCO,09/02/2001,1239,36.60,-89.83,36.58,-89.85,"A weak tornado touched down intermittently over open farm country between Risco and Parma. Spotters and police officers visually tracked the tornado for about 10 minutes as it moved slowly southwest. No damage occurred. The parent shower or thunderstorm moved slowly west.","",2
5263648,UNION CO.,LEWISBURG,09/04/2001,1255,Tornado, ,F1,0,0,60000,0,PA,EST, ,1121395,C,119,CTP,0,0,EMERGENCY MANAGER, ,2,300,2,NW,1,SE,LEWISBURG,09/04/2001,1305,40.97,-76.92,40.93,-76.87,"An F1 tornado touched down in Kelly Township, about 2 NW of Lewisburg on Colonel John Kelly Road. The tornado traveled to the southeast, remaining north of Lewisburg. It crossed Route 15 and eventually the Susquehanna River, crossing into Northumberland County. A Township building in Kelly township was destroyed, with significant damage to a township truck. 13 utility poles were snapped off, in addition to 75 to 100 trees. Winds were estimated to be around 80 mph, classifying the tornado as a weak F1. There were no injuries or deaths.","",3
5263649,NORTHUMBERLAND CO.,MONTANDON,09/04/2001,1305,Tornado, ,F1,0,0,0,0,PA,EST, ,1121396,C,97,CTP,0,0,EMERGENCY MANAGER, ,.5,300,2,NW,1,SE,MONTANDON,09/04/2001,1310,40.98,-76.88333,40.97,-76.85,"An F1 tornado crossed into Northumberland County from Union County at 13:05 EST. This tornado had estimated wind speeds of 80s mph. The tornado entered the county about 2 miles northwest of the town of Montandon, and tracked southeast, dissipating about 1/2 mile into Northumberland county. Damage was limited a few dozen trees. Nickle size hail was reported at the State Police barraks just northeast of Montandon after to tornado dissipated. There were no injuries or deaths.","",4
5275423,BEAVER CO.,MILFORD,09/04/2001,1515,Tornado, ,F0,0,0,0,0,UT,MST, ,1125851,C,1,SLC,0,0,LAW ENFORCEMENT, ,5,20, , , , ,MILFORD,09/04/2001,1531,38.40,-113.02,38.40,-113.02,"A thunderstorm spawned a tornado which touched down 6 miles southwest of Milford, then lifted up and touched down again in the foothills east of Milford. It finally moved to about 10 miles northeast of town before dissipating. The entire event lasted about 15 minutes over open country.","",5
5270437,DALLAS CO.,CARROLLTON,09/05/2001,1325,Tornado, ,F1,0,0,125000,0,TX,CST, ,1123629,C,113,FWD,0,0,NWS STORM SURVEY, ,1.5,50, , , , ,CARROLLTON,09/05/2001,1329,32.95,-96.90,32.95,-96.90,"The initial touchdown was at the intersection of McCoy and Evergreen roads.  The tornado moved north-northwest for 1.5 miles then dissipating just north of Frankford Road and east of Old Denton Road.   Roof damage occurred at theMcCoy Elementary School, to a church, and 23 homes.","

				
Showers and thunderstorms remained in North Texas, but became more scattered, as a slow moving upper level low pressure system began to exit the region.  This upper low spawned three tornadoes in Dallas and Collin Counties which caused damage to structures.",6
5270439,COLLIN CO.,FRISCO,09/05/2001,1405,Tornado, ,F0,0,0,0,0,TX,CST, ,1123629,C,85,FWD,0,0,FIRE DEPT/RESCUE SQUAD, ,.1,20,1,E,1,E,FRISCO,09/05/2001,1405,33.15,-96.82,33.15,-96.82,"Fire department personnel observed a brief tornado touchdown in an open filed just east of Frisco.","

				
Showers and thunderstorms remained in North Texas, but became more scattered, as a slow moving upper level low pressure system began to exit the region.  This upper low spawned three tornadoes in Dallas and Collin Counties which caused damage to structures.",7
5270440,COLLIN CO.,CELINA,09/05/2001,1430,Tornado, ,F1,0,0,30000,0,TX,CST, ,1123629,C,85,FWD,0,0,LAW ENFORCEMENT, ,3,50, , , , ,CELINA,09/05/2001,1430,33.32,-96.78,33.32,-96.78,"The tornado first touched down just north of Prosper and moved due north before dissipating near Celina.  Seven homes with roof damage, one home with windows blown out, a storage shed and a greenhouse was destroyed.","

				
Showers and thunderstorms remained in North Texas, but became more scattered, as a slow moving upper level low pressure system began to exit the region.  This upper low spawned three tornadoes in Dallas and Collin Counties which caused damage to structures.",8
5265845,PALM BEACH CO.,BOYNTON BEACH,09/06/2001,1015,Tornado, ,F0,0,0,0,0,FL,EST, ,1122258,C,99,MFL,0,0,METEOROLOGIST(NON NWS), ,.5,10,3,W,3,W,BOYNTON BEACH,09/06/2001,1015,26.52,-80.08,26.52,-80.08,"The Sheriff's Office reported a tornado on the ground for about one half mile.  The tornado did no known damage and caused no casualties.","",9
5267015,MADISON CO.,PERU,09/06/2001,1352,Tornado, ,F0,0,0,0,1000,IA,CST, ,1122245,C,121,DMX,0,0,LAW ENFORCEMENT, ,.5,20,1,SE,1,SE,PERU,09/06/2001,1352,41.22,-93.90,41.22,-93.90,"Damage in a convergent path in field.","A strong upper level low pressure lifted northeast out of the southern Plains during the afternoon of the 6th.  During the heating of the afternoon, thunderstorms erupted in the unstable air.  The freezing level was around 15,000 feet, so hail was not a great threat.  Surface dew point temperatures were in the upper 60s to low 70s with precipitable water values around 1.75 inches.  Thunderstorms fired southwest of the Des Moines metropolitan area.  A tornado touched down in rural Madison County.  The tornado was about 60 feet wide and produced a half mile long path of damage in open country.    As the storms moved northeast they continued to intensity.  One cell dropped a tornado at the Glen Oaks Golf Course in West Des Moines, causing some minor damage there.  The tornado tracked northeast and flipped a semi tractor-trailer truck in Interstate 35 resulting in one injury.  It continued northeast and hit an apartment complex causing damage to the building and destroying an 8-car garage.  The path was more intermittent as it continued northeast into the city.  There were numerous reports of trees and power lines being downed.  The tornado lifted as the event transitioned into a high wind event.  The storms produced wind damage in Johnston as it moved through the area.  High winds of 80 to 85 MPH occurred in northern Polk and southern Story Counties before they weakened.  A grain bin was flattened, along with tree and crop damage, as the storm moved through the Elkhart area.  Just northwest of that, in Slater, high winds took the roof off of a house in southern Story County.  One person in the house was injured.  The storms continued to track northeast, eventually dropping another tornado in Butler and Bremer Counties.  The tornado had a somewhat intermittent track touching down south of Shell Rock and lifting northeast of Waverly.  For the most part the tornado tracked through corn fields there.  One farmstead was hit in Butler County.  A grain bin was destroyed and blown one quarter of a mile across a field, another was blown off its foundation, a shed was destroyed, and crops were damaged.  In Bremer County, one car and a garage were damaged along the tornadoes path.  Another farmstead was hit north of Waverly.  Part of a machine garage was destroyed and blown about 30 feet off of its foundation.",10
